,movie_title,content_rating,genres,directors,authors,actors,original_release_date,runtime,production_company,tomatometer_rating,tomatometer_count,audience_rating,audience_count,meta_score,summary,combo_score,rating_diff
1,10 Cloverfield Lane,PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Dan Trachtenberg,"Josh Campbell, Matthew Stuecken, Damien Chazelle","Mary Elizabeth Winstead, John Goodman, John Gallagher Jr, Bradley Cooper, Cindy Hogan, Mat Vairo, Maya Erskine, Douglas M Griffin, Suzanne Cryer, Jamie Clay, Sumalee Montano, Frank Mottek",3/11/2016,103,Bad Robot Productions,90,309,79,60918,76,"Waking up from a car accident, a young woman (Mary Elizabeth Winstead) finds herself in the basement of a man who says he's saved her life from a chemical attack that has left the outside uninhabitable.",83,-4
2,31,R,Horror,Rob Zombie,Rob Zombie,"Sheri Moon Zombie, Malcolm McDowell, Meg Foster, Elizabeth Daily, Sandra Rosko, Richard Brake, Lawrence HiltonJacobs, Jeff Daniel Phillips, Daniel Roebuck, Judy Geeson, Tracey Walter, Ginger Lynn Allen, Jane Carr, Devin Sidell, David Ury, Lew Temple, Torsten Voges, Pancho Moler, Kevin Jackson, Michael Red Bone Alcott, Esperanza America, Andrea Dora, Jermain Hollman, Gabe Pimental, Ginger Lynn",10/21/2016,102,Bow and Arrow Entertainment,47,45,35,4535,35,"Five carnival workers who are kidnapped the night before Halloween and held hostage in a large compound.  At the mercy of their captors, they are forced to play a twisted game or life or death called 31.  For the next 12 hours they must fight for their lives against an endless parade of homicidal maniacs.",41,-6
3,A Bigger Splash,R,"Art House & International, Drama, Mystery & Suspense, Special Interest",Luca Guadagnino,David Kajganich,"Ralph Fiennes, Dakota Johnson, Matthias Schoenaerts, Tilda Swinton, Aurore Clement, Lily McMenamy, Corrado Guzzanti, Elena Bucci, Alessandro Ferrara, Davide Maddalena, Salvatore Gabriele, Livio Franco Blandino, Vito Rodo, Giuseppe Spata, Antonino Bonomo, Tom Stickley, Jerry Popiel, Giampiero LaCerra, Taketo Gohara, Giafar Abdallah, Salvatore Cipri, Mahammedin Mahammed Ibrahim, Francesco LoPinto, Francesca Faccilongo, Youness Zrhaiba, Francesco Leone, Vito Giuseppe Rodo, Rosa Rodo, Tamara Rodo, Geovanny Pineda, Antonio Simone Farina, Fausto Amato, Camillo Piarulli, Vito Giusepe Rodo",5/4/2016,125,StudioCanal,90,181,58,8569,74,"The lives of a high profile couple, a famous rock star and a filmmaker (Tilda Swinton and Matthias Schoenaerts), vacationing and recovering on the idyllic sun-drenched and remote Italian island of Pantelleria are disrupted by the unexpected visit of an old friend and his daughter (Ralph Fiennes and Dakota Johnson) - creating a whirlwind of jealousy, passion and, ultimately, danger for everyone involved. [Fox Searchlight]",82,-24
4,A Country Called Home,NR,Drama,Anna Axster,"Anna Axster, Jim Beggarly","Imogen Poots, Mary McCormack, Mackenzie Davis, June Squibb, Shea Whigham, Josh Helman, Ryan Bingham, Norman Bennett, Presley Jack Bowen, Joe Stevens, Melanie Haynes, John Merriman, Peggy Schott, Larry Jack Dotson, Kevin Patrick Connors, Nancy Nave, Richard Jackson, Steve Uzzell, Tatiana Panovich, William C May, Sam Henderson, Cassandra L Small, Shelby Davenport, Jessica Schwartz",2/26/2016,90,Raindance Entertainment,17,12,48,162,46,"Ellie (Imogen Poots) is a young woman living in Los Angeles who learns that her estranged alcoholic father has died.  Having had no contact with him since childhood, shes reluctant to make the effort to attend his funeral, but something draws her to the dusty corner of Texas where he spent the last years of his life.  At first dismayed by the small town vibe, shes soon intrigued by the people she meets, among them a distraught stepmother, her apprehensive son, a gutsy young musician, and a set of doting grandparents shes never met.  As she finds glimpses of the father she once knew, she also discovers a new attitude towards friendship, loyalty, and family.",31.5,16.5
5,A Hologram for the King,R,Drama,Tom Tykwer,Tom Tykwer,"Tom Hanks, Alexander Black, Sarita Choudhury, David Menkin, Tom Skerritt, Ben Whishaw, Tracey Fairaway, Sidse Babett Knudsen, Dhaffer LAbidine, Jay Abdo, Lewis Rainer, Rolf Saxon, Atheer Adel, Janis Ahern, Janis Adhern, Jane Perry, Khalid Laith, Waleed Elgadi, Megan Maczko, Amira El Sayed, Christy Meyer, Christy Meyers, Alexander Yassin, Eric Meyers, Jon Donahue, Jeff Burrell, Michael Baral, Ian T Dickinson, Michael Ihnow, Tamer Doghem, Abdullah Al Muslemani, Jassim Alsaady, Mamdou AlHarthy, Imtiaz Hauqe",4/22/2016,97,Roadside Attractions,71,148,55,10230,58,"Cultures collide when an American businessman (Tom Hanks) is sent to Saudi Arabia to close what he hopes will be the deal of a lifetime. Baffled by local customs and stymied by an opaque bureaucracy, he eventually finds his footing with the help of a wise-cracking taxi driver (Alexander Black) and a beautiful Saudi doctor (Sarita Choudhury).",64.5,-9.5
6,A Kind of Murder,R,Drama,Andy Goddard,Susan Boyd,"Jessica Biel, Patrick Wilson, Haley Bennett, Vincent Kartheiser, Eddie Marsan, Corrie Danieley, Chris W Hill, Radek Lord, Michelle Poole, Jennifer Enskat, Lucas Bentley, Angel Kerns, Jon Osbeck, Peggy Warner, Christine Dye, Lon Nease, Ryan Poole, Ken Strunk, Ian Short, Emily Scott, Juliane Collins, Barry Mulholland, Jerry Rowlands, Michael Laurianti, Steve Moore, Sharon Lutz",12/16/2016,98,Killer Films,35,17,14,503,50,"In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",42.5,-28.5
7,A Perfect Day,R,"Art House & International, Drama",Fernando Len de Aranoa,"Fernando Le??n de Aranoa, Diego Farias","Benicio Del Toro, Tim Robbins, Olga Kurylenko, Eldar Residovic, Feda Stukan, Mlanie Thierry, Sergi Lpez, Frank Feys, Morten Suurballe, Ben Temple",1/15/2016,106,IFC Films,72,57,56,1652,60,"Its just another day on the job for a band of badass war zone rescue workers as they defy death and confront wars absurdities. The setting is 1995, somewhere in the Balkans. Over the course of 24 breathless hours, Mambr (Benicio del Toro), leads his team of humanitariansincluding hard-bitten, wisecracking veteran B (Tim Robbins) and new recruit Sophie (Melanie Thierry)as they deal with a most unexpected crisis, layers of bureaucratic red tape, and the reappearance of Mambrs old flame (Olga Kurylenko). Through it all, the group handles the less-than-glamorous realities of life in a combat zone the only way they know how: with selfless bravery and a healthy dose of irreverent humor. [IFC Films]",66,-10
8,A Space Program,NR,Drama,Van Neistat,"Tom Sachs, Van Neistat","Pat Manocchia, Pat Manocchia, Tom Sachs, Sam Ratanarat, Mary Eannarino, Hailey Gates, Chris Beeston, Evan Ross Murphy, Patrick McCarthy, Nick Doyle, Kevin Hand, Van Neistat, Jeff Lurie, Jared Vandeusen, Gordon Milsaps, Sarah Hoover, Bill Powers, Sarah Vasil, Greg Vane, Sarah Sachs, Arthur Sachs, Aunt Irma, Lila Ellenbogen, Max Ellenbogen",3/18/2016,72,,87,15,80,58,72,"In A Space Program, internationally acclaimed artist Tom Sachs takes us on an intricately handmade journey to the red planet, providing audiences with an intimate, first person look into his studio and methods. The film is both a piece of art in its own right and a recording of Sachs historic piece, Space Program 2.0: MARS, which opened at New Yorks Park Avenue Armory in 2012.  For Space Program 2.0: MARS, Sachs and his team built an entire space program from scratch. They were guided by the philosophy of bricolage: creating and constructing from available yet limited resources. They ultimately sent two female astronauts to Mars in search of the answer to humankinds ultimate question... are we alone? [Zeitgeist Films]",79.5,0.5
9,A Street Cat Named Bob,NR,"Comedy, Drama",Roger Spottiswoode,"John Tim Burrus, Maria Nation","Luke Treadaway, Ruta Gedmintas, Joanne Froggatt, Anthony Head, Beth Goddard, Darren Evans, Caroline Goodall, Ruth Sheen, Nina Wadia, Ivana Basic, Lorraine Ashbourne, Daniel Fearn, Adam Riches, Nadine Marshall, John Henshaw",11/18/2016,103,Cleopatra Entertainment,77,65,76,4894,54,"A Street Cat Named Bob tells the moving and life-affirming true story of the unlikely friendship between a young homeless busker, James Bowen, and the stray ginger cat named Bob who changed his life.",65.5,10.5
10,A Tale of Love and Darkness,PG-13,"Art House & International, Drama",Natalie Portman,Natalie Portman,"Natalie Portman, Makram Khoury, Shira Haas, Gilad Kahana, Neta Riskin, Amir Tessler, Ohad Knoller, Henry David, Dina Doron, Rotem Keinan, Alexander Peleg, Vladimir Friedman, Varda Ben Hur, Maria Belkin, Erez Eyni Shavit, Errel Steinmetz, Peter Knoller, Gera Sandler, Tomer Kapon, Mor Cohen, Silvia Drori, Ruth Rasiuk, Amir Hinkis, Ahmed Saleh, Or Shefer, Itzchak Peker, Moni Moshonov",8/19/2016,98,Focus World,71,66,50,2477,55,"Based on Amos Oz's international best-seller, A Tale of Love and Darkness is the story of Oz's youth at the end of the British Mandate for Palestine and the early years of the State of Israel. The film details young Amos' relationship with his mother (Natalie Portman) and his birth as a writer, looking at what happens when the stories we tell, become the stories we live.",63,-13
